X,CH1,CH2,CH4,Start,Increment
Sequence,Volt,Volt,Volt,-0.0006,1E-06
430,0,0.08,9.8,,
431,0,0.08,9.8,,
432,-0.008,0.08,10,,
433,-0.008,0.08,10,,
434,0,0.08,10,,
435,0,0.08,10,,
436,-0.008,0.08,10,,
437,-0.008,0.08,10,,
438,0,0.08,9.8,,
439,0,0.08,9.8,,
440,-0.008,0,9.8,,
441,-0.008,0,9.8,,
442,-0.008,0.08,9.8,,
443,-0.008,0.08,9.8,,
444,-0.008,0.08,9.8,,
445,-0.008,0.08,9.8,,
446,-0.008,0.08,9.8,,
447,-0.008,0.08,9.8,,
448,-0.016,0.08,9.8,,
449,-0.016,0.08,9.8,,
450,-0.008,0.08,9.8,,
451,-0.008,0.08,9.8,,
452,-0.008,0.08,9.8,,
453,-0.008,0.08,9.8,,
454,-0.008,0.08,9.8,,
455,-0.008,0.08,9.8,,
456,-0.008,0.08,9.8,,
457,-0.008,0.08,9.8,,
458,-0.008,0.08,9.8,,
459,-0.008,0.08,9.8,,
460,-0.008,0.08,9.8,,
461,-0.008,0.08,9.8,,
462,-0.016,0.08,10,,
463,-0.016,0.08,10,,
464,-0.008,0.08,9.8,,
465,-0.008,0.08,9.8,,
466,-0.008,0.08,9.8,,
467,-0.008,0.08,9.8,,
468,-0.008,0.08,10,,
469,-0.008,0.08,10,,
470,0,0.08,10,,
471,0,0.08,10,,
472,0,0.08,10,,
473,0,0.08,10,,
474,-0.008,0.08,10,,
475,-0.008,0.08,10,,
476,-0.008,0.08,9.8,,
477,-0.008,0.08,9.8,,
478,-0.008,0.08,9.8,,
479,-0.008,0.08,9.8,,
480,-0.008,0.08,9.8,,
481,-0.008,0.08,9.8,,
482,-0.008,0.08,9.8,,
483,-0.008,0.08,9.8,,
484,-0.008,0.08,9.8,,
485,-0.008,0.08,9.8,,
486,0,0.08,9.8,,
487,0,0.08,9.8,,
488,0,0.08,9.8,,
489,0,0.08,9.8,,
490,0,0.08,9.8,,
491,0,0.08,9.8,,
492,0,0.08,10,,
493,0,0.08,10,,
494,-0.008,0.08,10,,
495,-0.008,0.08,10,,
496,0,0.08,9.8,,
497,0,0.08,9.8,,
498,0,0.08,9.8,,
499,0,0.08,9.8,,
500,0,0,9.8,,
501,0,0,9.8,,
502,-0.008,0,9.8,,
503,-0.008,0,9.8,,
504,0,0,9.8,,
505,0,0,9.8,,
506,0,0.08,9.8,,
507,0,0.08,9.8,,
508,-0.008,0.08,10,,
509,-0.008,0.08,10,,
510,-0.008,0,10,,
511,-0.008,0,10,,
512,-0.008,0,9.8,,
513,-0.008,0,9.8,,
514,-0.008,0.08,9.8,,
515,-0.008,0.08,9.8,,
516,0,0.08,9.8,,
517,0,0.08,9.8,,
518,0,0,9.8,,
519,0,0,9.8,,
520,-0.008,0.08,10,,
521,-0.008,0.08,10,,
522,-0.008,0.08,10,,
523,-0.008,0.08,10,,
524,-0.008,0.08,10,,
525,-0.008,0.08,10,,
526,-0.008,0.08,10,,
527,-0.008,0.08,10,,
528,-0.008,0.08,9.8,,
529,-0.008,0.08,9.8,,
530,0,0.08,9.8,,
531,0,0.08,9.8,,
532,-0.008,0.08,10,,
533,-0.008,0.08,10,,
534,0,0,9.8,,
535,0,0,9.8,,
536,-0.008,0,9.8,,
537,-0.008,0,9.8,,
538,0,0,9.8,,
539,0,0,9.8,,
540,-0.008,0,9.8,,
541,-0.008,0,9.8,,
542,-0.008,0.08,9.8,,
543,-0.008,0.08,9.8,,
544,0,0.08,9.8,,
545,0,0.08,9.8,,
546,-0.008,0.08,9.8,,
547,-0.008,0.08,9.8,,
548,0.008,0.08,9.8,,
549,0.008,0.08,9.8,,
550,0,0.08,9.8,,
551,0,0.08,9.8,,
552,-0.008,0.08,9.8,,
553,-0.008,0.08,9.8,,
554,0,0,9.8,,
555,0,0,9.8,,
556,-0.008,0.08,9.8,,
557,-0.008,0.08,9.8,,
558,0,0.08,9.8,,
559,0,0.08,9.8,,
560,-0.008,0.08,9.8,,
561,-0.008,0.08,9.8,,
562,-0.008,0.08,9.8,,
563,-0.008,0.08,9.8,,
564,-0.008,0.08,9.8,,
565,-0.008,0.08,9.8,,
566,-0.008,0.08,9.8,,
567,-0.008,0.08,9.8,,
568,0,0.08,9.8,,
569,0,0.08,9.8,,
570,-0.008,0.08,9.8,,
571,-0.008,0.08,9.8,,
572,-0.008,0.08,9.8,,
573,-0.008,0.08,9.8,,
574,-0.008,0.08,9.8,,
575,-0.008,0.08,9.8,,
576,-0.008,0.08,9.8,,
577,-0.008,0.08,9.8,,
578,-0.008,0.08,9.8,,
579,-0.008,0.08,9.8,,
580,-0.008,0.08,9.8,,
581,-0.008,0.08,9.8,,
582,0.008,0.08,10,,
583,0.008,0.08,10,,
584,0,0.08,9.8,,
585,0,0.08,9.8,,
586,-0.008,0.08,9.8,,
587,-0.008,0.08,9.8,,
588,-0.008,0.08,9.8,,
589,-0.008,0.08,9.8,,
590,0,0.08,9.8,,
591,0,0.08,9.8,,
