X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-3E-05,5E-08
342,-8.8,-0.122,0.124,-0.2,,
343,-8.8,-0.122,0.124,-0.2,,
344,-8.8,-0.122,0.124,-0.2,,
345,-8.8,-0.122,0.124,-0.2,,
346,-9,-0.122,0.124,-0.2,,
347,-9,-0.122,0.124,-0.2,,
348,-9,-0.124,0.124,-0.2,,
349,-9,-0.124,0.124,-0.2,,
350,-9,-0.124,0.124,0,,
351,-9,-0.124,0.124,0,,
352,-9,-0.122,0.124,0,,
353,-9,-0.122,0.124,0,,
354,-9,-0.122,0.124,0,,
355,-9,-0.122,0.124,0,,
356,-9,-0.124,0.124,-0.2,,
357,-9,-0.124,0.124,-0.2,,
358,-9,-0.122,0.124,0,,
359,-9,-0.122,0.124,0,,
360,-9,-0.122,0.124,0,,
361,-9,-0.122,0.124,0,,
362,-9,-0.124,0.122,-0.2,,
363,-9,-0.124,0.122,-0.2,,
364,-9.2,-0.122,0.124,0,,
365,-9.2,-0.122,0.124,0,,
366,-9.2,-0.122,0.124,0,,
367,-9.2,-0.122,0.124,0,,
368,-9.2,-0.122,0.124,0,,
369,-9.2,-0.122,0.124,0,,
370,-9.4,-0.122,0.124,0,,
371,-9.4,-0.122,0.124,0,,
372,-9.4,-0.122,0.124,0,,
373,-9.4,-0.122,0.124,0,,
374,-9.4,-0.124,0.124,-0.2,,
375,-9.4,-0.124,0.124,-0.2,,
376,-9.2,-0.122,0.124,-0.2,,
377,-9.2,-0.122,0.124,-0.2,,
378,-9.2,-0.122,0.124,-0.2,,
379,-9.2,-0.122,0.124,-0.2,,
380,-9.4,-0.124,0.124,0,,
381,-9.4,-0.124,0.124,0,,
382,-9.2,-0.124,0.124,0,,
383,-9.2,-0.124,0.124,0,,
384,-9.4,-0.122,0.124,-0.2,,
385,-9.4,-0.122,0.124,-0.2,,
386,-9.4,-0.122,0.124,0,,
387,-9.4,-0.122,0.124,0,,
388,-9.4,-0.122,0.124,0,,
389,-9.4,-0.122,0.124,0,,
390,-9.4,-0.122,0.124,0,,
391,-9.4,-0.122,0.124,0,,
392,-9.4,-0.122,0.124,0,,
393,-9.4,-0.122,0.124,0,,
394,-9.4,-0.122,0.124,0,,
395,-9.4,-0.122,0.124,0,,
396,-9.4,-0.122,0.124,0,,
397,-9.4,-0.122,0.124,0,,
398,-9.6,-0.124,0.124,-0.2,,
399,-9.6,-0.124,0.124,-0.2,,
400,-9.6,-0.122,0.124,-0.2,,
401,-9.6,-0.122,0.124,-0.2,,
402,-9.6,-0.122,0.124,-0.2,,
403,-9.6,-0.122,0.124,-0.2,,
404,-9.6,-0.122,0.124,0,,
405,-9.6,-0.122,0.124,0,,
406,-9.6,-0.122,0.124,0,,
407,-9.6,-0.122,0.124,0,,
408,-9.6,-0.122,0.124,0,,
409,-9.6,-0.122,0.124,0,,
410,-9.6,-0.122,0.124,0,,
411,-9.6,-0.122,0.124,0,,
412,-9.6,-0.122,0.124,0,,
413,-9.6,-0.122,0.124,0,,
414,-9.6,-0.122,0.124,0,,
415,-9.6,-0.122,0.124,0,,
416,-9.6,-0.124,0.124,0,,
417,-9.6,-0.124,0.124,0,,
418,-9.6,-0.122,0.124,0,,
419,-9.6,-0.122,0.124,0,,
420,-9.6,-0.122,0.124,0,,
421,-9.6,-0.122,0.124,0,,
422,-9.6,-0.122,0.124,0,,
423,-9.6,-0.122,0.124,0,,
424,-9.6,-0.122,0.124,0,,
425,-9.6,-0.122,0.124,0,,
426,-9.6,-0.122,0.124,0,,
427,-9.6,-0.122,0.124,0,,
428,-9.6,-0.122,0.124,0,,
429,-9.6,-0.122,0.124,0,,
430,-9.6,-0.122,0.124,0,,
431,-9.6,-0.122,0.124,0,,
432,-9.6,-0.122,0.124,0,,
433,-9.6,-0.122,0.124,0,,
434,-9.6,-0.122,0.124,0,,
435,-9.6,-0.122,0.124,0,,
436,-9.8,-0.122,0.124,0,,
437,-9.8,-0.122,0.124,0,,
438,-9.8,-0.124,0.124,0,,
439,-9.8,-0.124,0.124,0,,
440,-9.6,-0.122,0.124,0,,
441,-9.6,-0.122,0.124,0,,
442,-9.6,-0.122,0.124,0,,
443,-9.6,-0.122,0.124,0,,
444,-9.6,-0.122,0.124,0,,
445,-9.6,-0.122,0.124,0,,
446,-9.6,-0.122,0.124,0,,
447,-9.6,-0.122,0.124,0,,
448,-9.8,-0.122,0.124,-0.2,,
449,-9.8,-0.122,0.124,-0.2,,
450,-9.8,-0.122,0.124,-0.2,,
451,-9.8,-0.122,0.124,-0.2,,
452,-9.8,-0.122,0.124,-0.2,,
453,-9.8,-0.122,0.124,-0.2,,
454,-9.8,-0.122,0.124,0,,
455,-9.8,-0.122,0.124,0,,
456,-9.8,-0.122,0.124,-0.2,,
457,-9.8,-0.122,0.124,-0.2,,
458,-9.8,-0.122,0.124,-0.2,,
459,-9.8,-0.122,0.124,-0.2,,
460,-9.8,-0.122,0.124,-0.2,,
461,-9.8,-0.122,0.124,-0.2,,
462,-9.8,-0.122,0.124,0,,
463,-9.8,-0.122,0.124,0,,
464,-9.8,-0.122,0.124,0,,
465,-9.8,-0.122,0.124,0,,
466,-9.8,-0.122,0.124,0,,
467,-9.8,-0.122,0.124,0,,
468,-9.8,-0.122,0.124,-0.2,,
469,-9.8,-0.122,0.124,-0.2,,
470,-9.8,-0.122,0.124,-0.2,,
471,-9.8,-0.122,0.124,-0.2,,
472,-9.6,-0.122,0.124,-0.2,,
473,-9.6,-0.122,0.124,-0.2,,
