X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-0.000704,1E-06
295,0.0008,0,-0.0254,0,,
296,0.0016,0,-0.0254,0,,
297,0.0016,0,-0.0254,0,,
298,0.0008,-0.02,-0.0254,0,,
299,0.0008,-0.02,-0.0254,0,,
300,0,0,-0.0254,0.08,,
301,0,0,-0.0254,0.08,,
302,0,-0.02,-0.0254,0,,
303,0,-0.02,-0.0254,0,,
304,0.0008,-0.02,-0.0254,0,,
305,0.0008,-0.02,-0.0254,0,,
306,0,0,-0.0254,0,,
307,0,0,-0.0254,0,,
308,0,0,-0.0254,0,,
309,0,0,-0.0254,0,,
310,0,0,-0.0254,0,,
311,0,0,-0.0254,0,,
312,0,0,-0.0254,0,,
313,0,0,-0.0254,0,,
314,0.0008,-0.02,-0.0254,0,,
315,0.0008,-0.02,-0.0254,0,,
316,0.0008,0,-0.0254,0,,
317,0.0008,0,-0.0254,0,,
318,0.0008,-0.02,-0.0254,0,,
319,0.0008,-0.02,-0.0254,0,,
320,0.0008,-0.02,-0.0254,0,,
321,0.0008,-0.02,-0.0254,0,,
322,0.0008,0,-0.0254,0,,
323,0.0008,0,-0.0254,0,,
324,0.0008,0,-0.0254,0,,
325,0.0008,0,-0.0254,0,,
326,0.0008,-0.02,-0.0254,0,,
327,0.0008,-0.02,-0.0254,0,,
328,0.0008,0,-0.0254,0,,
329,0.0008,0,-0.0254,0,,
330,0.0008,-0.02,-0.0254,0,,
331,0.0008,-0.02,-0.0254,0,,
332,0.0008,0,-0.0254,0,,
333,0.0008,0,-0.0254,0,,
334,0.0008,-0.02,-0.0254,0,,
335,0.0008,-0.02,-0.0254,0,,
336,0,-0.02,-0.0254,0,,
337,0,-0.02,-0.0254,0,,
338,0.0008,0,-0.0254,0,,
339,0.0008,0,-0.0254,0,,
340,0,-0.02,-0.0254,0,,
341,0,-0.02,-0.0254,0,,
342,0.0008,-0.02,-0.0254,0,,
343,0.0008,-0.02,-0.0254,0,,
344,0,0,-0.0254,0,,
345,0,0,-0.0254,0,,
346,0.0008,0,-0.0254,0,,
347,0.0008,0,-0.0254,0,,
348,0.0008,0,-0.0254,0,,
349,0.0008,0,-0.0254,0,,
350,0.0008,-0.02,-0.0254,0,,
351,0.0008,-0.02,-0.0254,0,,
352,0,-0.02,-0.0254,0,,
353,0,-0.02,-0.0254,0,,
354,0,0,-0.0254,0,,
355,0,0,-0.0254,0,,
356,0,-0.02,-0.0254,0,,
357,0,-0.02,-0.0254,0,,
358,0,-0.02,-0.0254,0,,
359,0,-0.02,-0.0254,0,,
360,0,-0.02,-0.0254,0,,
361,0,-0.02,-0.0254,0,,
362,0,0,-0.0254,0,,
363,0,0,-0.0254,0,,
364,0,0,-0.0254,0,,
365,0,0,-0.0254,0,,
366,0.0008,0,-0.0254,0,,
367,0.0008,0,-0.0254,0,,
368,0,0,-0.0254,0,,
369,0,0,-0.0254,0,,
370,0.0008,-0.02,-0.0254,0,,
371,0.0008,-0.02,-0.0254,0,,
372,0.0008,-0.02,-0.0254,0,,
373,0.0008,-0.02,-0.0254,0,,
374,0.0016,0,-0.0254,0,,
375,0.0016,0,-0.0254,0,,
376,0.0024,0,-0.0254,0.08,,
377,0.0024,0,-0.0254,0.08,,
378,0.008,0,-0.0254,0.24,,
379,0.008,0,-0.0254,0.24,,
380,0.0088,-0.02,-0.0254,0.4,,
381,0.0088,-0.02,-0.0254,0.4,,
382,0.0096,-0.02,-0.0254,0.48,,
383,0.0096,-0.02,-0.0254,0.48,,
384,0.0112,0,-0.0254,0.64,,
385,0.0112,0,-0.0254,0.64,,
386,0.0128,0,-0.0254,0.88,,
387,0.0128,0,-0.0254,0.88,,
388,0.0144,-0.02,-0.0254,0.96,,
389,0.0144,-0.02,-0.0254,0.96,,
390,0.0232,0,-0.0254,1.36,,
391,0.0232,0,-0.0254,1.36,,
392,0.0368,0,-0.0254,2,,
393,0.0368,0,-0.0254,2,,
394,0.0496,0,-0.0254,2.72,,
395,0.0496,0,-0.0254,2.72,,
396,0.0512,0,-0.0254,3.52,,
397,0.0512,0,-0.0254,3.52,,
398,0.0376,-0.02,-0.0254,4.16,,
399,0.0376,-0.02,-0.0254,4.16,,
400,0.0168,0,-0.0254,4.4,,
401,0.0168,0,-0.0254,4.4,,
402,0.0064,-0.02,-0.0254,4.48,,
403,0.0064,-0.02,-0.0254,4.48,,
404,0.0032,-0.02,-0.0254,4.64,,
405,0.0032,-0.02,-0.0254,4.64,,
406,0.0008,-0.02,-0.0254,4.64,,
407,0.0008,-0.02,-0.0254,4.64,,
408,0.0016,-0.02,-0.0254,4.64,,
409,0.0016,-0.02,-0.0254,4.64,,
410,0.0016,-0.02,-0.0254,4.64,,
411,0.0016,-0.02,-0.0254,4.64,,
412,0.0016,0,-0.0254,4.64,,
413,0.0016,0,-0.0254,4.64,,
414,0.0008,0,-0.0254,4.64,,
415,0.0008,0,-0.0254,4.64,,
416,0.0016,0,-0.0254,4.64,,
417,0.0016,0,-0.0254,4.64,,
418,0.0016,-0.02,-0.0254,4.64,,
419,0.0016,-0.02,-0.0254,4.64,,
420,0.0008,0,-0.0254,4.64,,
421,0.0008,0,-0.0254,4.64,,
422,0.0008,0,-0.0254,4.64,,
